year,month,day,tempMax,tempMin,rhMax,rhMin,precip,solarRad,windSpeed,irrigation,topSoilWater,bottomSoilWater,canopyCover
2016,10,15,29.58888889,17,94.1,54.49,0,15.57,2.902027454,0,250,,
2016,10,16,32.23888889,18.61111111,96.5,38.81,0,17.85,2.934638368,0,,,
2016,10,17,33.57777778,20.37222222,80.3,31.25,0,15.24360465,3.058384627,0,,,
2016,10,18,25.86111111,12.77777778,75.04,27.59,0,17.72,2.923634333,0,,,
2016,10,19,26.51111111,11.23888889,91.7,38.28,0,16.69,2.7761115,0,,,
2016,10,20,20.12222222,7.3,90.5,37.57,0,16.49,3.437729056,0,,,
2016,10,21,21.71111111,4.305555556,95.9,34.64,0,16.92,2.521299333,0,,,
2016,10,22,27.47222222,6.666666667,93.6,25.88,0,17.11,3.223150389,0,,,
2016,10,23,27.58888889,9.272222222,88.6,36.65,0,17.13,2.422950778,0,,,
2016,10,24,26.3,9.811111111,99.2,50.48,0,14.48440476,1.582517667,0,,,
2016,10,25,26.62777778,14.72222222,97.3,57.08,0,9.7,3.893708722,0,,,
2016,10,26,26.81111111,14.03888889,97.2,51.75,0,13.75,1.631691944,0,,,
2016,10,27,26.35,9.3,98.8,42.07,0.254,15.73,1.157830722,0,,,
2016,10,28,30.62222222,14.82777778,97.1,38.44,0,15.03,4.340747611,0,,,
2016,10,29,29.48888889,15.35,88.8,38.03,0,13.73,4.912957389,0,,,
2016,10,30,18.82222222,10.17777778,99.7,67.53,0,8.5,3.325969333,0,,,
2016,10,31,29.52222222,10.37777778,99.9,35.48,0.254,12.86,4.667086,0,,,
2016,11,1,28.96111111,17.93888889,86.7,41.81,0,13.71,4.434625778,0,,,
2016,11,2,28.58888889,17.07222222,96.2,40.56,0,10.57,3.227620778,0,,,
2016,11,3,23.3,9.938888889,92.4,27.78,0,10.99,2.986219778,0,,,
2016,11,4,21.05,6.227777778,95.5,42.21,0,11.59,1.028189444,0,,,
2016,11,5,20.2,12.25,87.1,55.45,0,7.77,1.198064222,0,,,
2016,11,6,19.18888889,12.96111111,98.4,47.09,6.35,6.02,2.002734222,0,,,
2016,11,7,17.37222222,12.87222222,99.3,88.8,1.27,3.72,0.920900111,0,,,
2016,11,8,17.78888889,9.138888889,98.9,57.79,1.016,9.26,4.586619,0,,,
2016,11,9,16.46111111,4.244444444,96.9,41.61,0,14.59,1.591458444,0,,,
2016,11,10,20.77222222,1.922222222,98.5,49.02,0,14.25,2.065319667,0,245,,
2016,11,11,17.21111111,4.116666667,99.2,49.61,0,13.65,3.598663056,0,,,
2016,11,12,14.57777778,1.161111111,93.5,40.64,0,14.38,1.466287556,0,,,
2016,11,13,19.75,1.733333333,94.8,47.35,0,13.05,2.588355167,0,,,
2016,11,14,21.26111111,6.133333333,99.8,38.19,0,11.94168675,2.816345,0,,,
2016,11,15,26.3,5.666666667,91.3,27.2,0,13.39,1.426054056,0,,,
2016,11,16,29.07777778,6.327777778,95.4,20.53,0,13.51,3.375143611,0,,,
2016,11,17,24.11111111,11.57222222,67.97,37.75,0,11.69156627,6.142314333,0,,,
2016,11,18,11.05,0.911111111,77.13,35.89,0,13.13,6.280896389,0,,,
2016,11,19,8.861111111,-4.822222222,85.7,33.89,0,13.35,2.145786667,0,,,
2016,11,20,17.72777778,-1.394444444,79.03,30.61,0,12.91,3.857945611,0,,,
2016,11,21,18.11111111,1.077777778,83.6,42.06,0,11.14,3.147153778,0,,,
2016,11,22,22.46111111,7.133333333,90.5,29.49,0,12.6,5.587986111,0,,,
2016,11,23,14.72222222,2.75,90.3,41.41,0,12.46,4.059113111,0,,,
2016,11,24,20.8,0.177777778,99.6,29.61,0,11.85,3.652307722,0,,,
2016,11,25,12.2,-1.622222222,95.2,45.07,0,12.2,2.378246889,0,,,
2016,11,26,17.56111111,-3.533333333,96.9,32.05,0,12.36,3.281265444,0,,,
2016,11,27,15.92777778,11.2,94.9,65.93,0,1.59,6.249603667,0,,,
2016,11,28,17.55,4.683333333,99.6,19.38,0,12.31,2.673292556,0,,,
2016,11,29,14,0.155555556,79.92,28.25,0,12.28,3.553959167,0,,,
2016,11,30,12.66111111,-0.85,73.34,20.5,0,12.26,4.059113111,0,,,
2016,12,1,13.68888889,-4.572222222,80.2,31.85,0,10.41409639,1.095245278,0,,,
2016,12,2,12.18888889,-3.288888889,87.4,39.98,0.254,8.95,3.232091167,0,,,
2016,12,3,6.333333333,4.438888889,99.6,79.61,5.588,1.45,1.60934,0,,,
2016,12,4,11.47222222,-0.211111111,99.5,48.94,1.778,8.77,1.944619167,0,,,
2016,12,5,11.96111111,-2.311111111,99.6,56.54,0.254,12.13,2.807404222,0,,,
2016,12,6,5.888888889,-2.583333333,99.9,38.91,0,9.7,4.050172333,0,,,
2016,12,7,3.766666667,-4.805555556,88.6,43.2,0,9.733809524,3.866886389,0,,,
2016,12,8,-1.327777778,-9.627777778,86,36.02,0,11.75,3.021982889,0,250,,
2016,12,9,-0.494444444,-9.238888889,80.4,44.6,0,9.643647059,2.655411,0,,,
2016,12,10,9.338888889,-5.833333333,86.7,43.16,0,10.84,4.586619,0,,,
2016,12,11,11.86111111,-3.105555556,87.6,60.15,0,5.76,5.579045333,0,,,
2016,12,12,2.827777778,-6.444444444,89.7,53.82,0,4.86,1.211475389,0,,,
2016,12,13,-0.705555556,-6.616666667,90.6,49.85,0,10.81,3.737245111,0,,,
2016,12,14,3.416666667,-8.522222222,85.1,34.72,0,10.74,2.887871222,0,,,
2016,12,15,0.661111111,-9.427777778,98.9,29.16,0,5.93,3.227620778,0,,,
2016,12,16,19.33888889,0.744444444,99.9,41.12,0,3.64,6.093140056,0,,,
2016,12,17,3.305555556,-14.42222222,91.6,66.2,0,2.24,7.841062111,0,,,
2016,12,18,-7.922222222,-19.72222222,79.57,39.83,0,11.87,1.770274,0,,,
2016,12,19,2.694444444,-16.75,80.8,31.3,0,11.68,2.601766333,0,,,
2016,12,20,9.622222222,-8.411111111,75.08,29.14,0,11.71,1.461817167,0,,,
2016,12,21,12.07222222,-5.894444444,84.3,27.94,0,7.42,2.270957556,0,,,
2016,12,22,5.561111111,-4.033333333,84.3,42.6,0.254,3.61,1.466287556,0,,,
2016,12,23,13.81111111,1.788888889,85.6,42.46,0.254,8.26,3.889238333,0,,,
2016,12,24,15.87222222,-2.877777778,99.9,52.99,0.254,11.06,2.422950778,0,,,
